VS2,VSe2,VTe2,MoS2,MoSe2,MoTe2,TiS2,TiSe2,TiTe2,WS2,WSe2,WTe2,ScS2,ScSe2,ScTe2,NiS2,NiSe2,NiTe2,V,Mo,Ti,W,Sc,Ni,S2,Se2,Te2,AvgFormE,AvgMass,AvgRadius,AvgElecNeg,WeightDif,Formation E
0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,2,0,8,0,0,16,4,-0.992,74.3106,132,2.10506,339.0166668,-4.09015902
0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,9,0,0,18,2,-1.0275,70.97163333,131,2.12903,507.6716667,-2.42383906
0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,9,0,0,2,0,18,-0.2372,135.4449,135.833,2.19133,1279.791,-0.14131854
0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,2,8,0,0,4,0,16,-0.3734,124.5431334,133.333,2.19596,1096.115334,-0.07989617
0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,3,7,0,0,6,0,14,-0.5096,113.6413667,130.833,2.20059,912.4396669,-0.03128157
0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,4,6,0,0,8,0,12,-0.6458,102.7396,128.333,2.20522,728.7640002,-0.0039948
0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,10,0,10,-0.782,91.83783335,125.833,2.20985,545.0883335,0.00691208
0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,6,4,0,0,12,0,8,-0.9182,80.93606668,123.333,2.21448,361.4126668,-0.00173583
0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,0,14,0,6,-1.0544,70.03430001,120.833,2.21911,177.7370001,-0.01696148
0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,8,2,0,0,16,0,4,-1.1906,59.13253334,118.333,2.22374,5.9386666,-0.16189748
0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,18,0,2,-1.3268,48.23076667,115.833,2.22837,189.6143333,-0.00820731
0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,9,0,0,2,18,0,-0.6029,107.8702666,121.0003,2.48203,971.989333,-0.35742002
0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,8,0,0,4,16,0,-0.6528,101.8132,120.3336,2.47736,804.7053331,-0.29263325
0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,7,0,0,6,14,0,-0.7027,95.75613331,119.6669,2.47269,637.4213331,-0.23417932
0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,6,0,0,8,12,0,-0.7526,89.69906665,119.0002,2.46802,470.1373331,-0.18598415
0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,10,10,0,-0.8025,83.64199999,118.3335,2.46335,302.8533332,-0.14823988
0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,4,0,0,12,8,0,-0.8524,77.58493332,117.6668,2.45868,135.5693332,-0.12119156
0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,3,0,0,14,6,0,-0.9023,71.52786666,117.0001,2.45401,31.71466679,-0.1055
0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,2,0,0,16,4,0,-0.9522,65.4708,116.3334,2.44934,198.9986668,-0.10167756
0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,20,0,-0.6673,74.05793333,121.667,2.26737,512.7246667,-0.12121942
0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,2,0,0,0,20,0,-0.6546,78.48786666,121.667,2.29174,329.1693334,-0.16064909
0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,0,20,0,-0.6419,82.91779999,121.667,2.31611,145.6140001,-0.13647822
0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,4,0,0,0,20,0,-0.6292,87.34773332,121.667,2.34048,37.9413332,-0.13751147
0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,20,0,-0.6165,91.77766665,121.667,2.36485,221.4966665,-0.13900635
0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,6,0,0,0,20,0,-0.6038,96.20759998,121.667,2.38922,405.0519998,-0.1427584
0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,7,0,0,0,20,0,-0.5911,100.6375333,121.667,2.41359,588.6073331,-0.13809727
0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,8,0,0,0,20,0,-0.5784,105.0674666,121.667,2.43796,772.1626664,-0.13903501
0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,9,0,0,0,20,0,-0.5657,109.4974,121.667,2.46233,955.7179997,-0.15331536
0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,-0.779,98.29033332,116.667,2.49635,156.3699999,-0.03415334
0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,10,0,0,12,8,0,-0.8242,95.16293332,115.667,2.49828,40.21066678,-0.00911938
0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,10,0,0,14,6,0,-0.8694,92.03553332,114.667,2.50021,236.7913334,0.00374364
